Age,Work_Hours_Per_Week,Projects_Handled,Training_Hours,Employee_Satisfaction_Score,Resigned
22,44,20,69,3.62,TRUE
55,47,0,79,2.9,FALSE
34,45,42,31,4.94,FALSE
56,49,29,9,3.9,FALSE
22,49,36,89,4.47,FALSE
39,45,23,27,3.53,TRUE
26,59,9,27,4.66,TRUE
43,57,16,77,2.57,FALSE
49,46,15,96,3.38,FALSE
30,40,10,58,2.2,FALSE
54,51,17,53,2.59,TRUE
39,56,16,99,2.98,FALSE
41,47,28,7,4.15,TRUE
41,30,8,8,3.38,TRUE
39,45,3,72,2.7,TRUE
48,40,37,73,3.76,TRUE
36,55,25,35,3.84,FALSE
47,46,41,80,3.54,TRUE
27,30,42,51,3.37,FALSE
30,57,25,65,2.27,TRUE
31,32,30,7,2.46,FALSE
31,38,32,17,4.33,FALSE
36,43,5,10,4.38,TRUE
26,58,35,64,3.44,TRUE
27,42,26,13,1.09,TRUE
56,50,9,32,2.53,FALSE
23,50,38,70,2.43,TRUE
29,32,23,17,3.01,TRUE
39,37,18,57,1.56,TRUE
60,36,15,28,2.72,TRUE
51,44,48,41,3.93,TRUE
35,48,23,5,4.13,FALSE
32,52,20,40,2.25,FALSE
39,46,23,94,1.78,TRUE
37,32,17,1,2.07,TRUE
40,37,18,44,2.85,TRUE
24,47,25,16,1.08,FALSE
53,46,30,52,2.67,TRUE
57,34,18,9,3.62,FALSE
44,34,45,41,2.87,FALSE
35,46,18,74,1.8,TRUE
35,51,25,12,1.83,FALSE
42,46,17,79,2.14,TRUE
44,44,44,54,4.92,TRUE
45,46,10,85,1.18,TRUE
53,60,11,32,2.76,TRUE
52,37,23,20,4.67,TRUE
55,34,2,75,2.53,FALSE
43,34,1,50,3.69,TRUE
37,52,37,81,2.79,FALSE
57,45,34,8,4.74,FALSE
45,58,28,77,1.43,FALSE
53,52,41,29,4.14,TRUE
57,52,38,30,1.76,FALSE
39,49,2,42,2.34,TRUE
33,41,2,26,2.91,TRUE
60,38,32,83,2.67,TRUE
43,40,9,73,3.94,TRUE
58,38,6,63,2.58,TRUE
34,30,44,49,4.15,FALSE
37,55,41,6,1.74,FALSE
30,50,27,21,3.57,FALSE
26,34,16,32,2.12,TRUE
40,36,41,43,2.58,TRUE
22,51,39,55,2.19,FALSE
31,36,21,50,2.23,TRUE
54,60,2,97,2.77,TRUE
33,51,7,56,1.41,TRUE
51,46,0,58,3.32,FALSE
35,30,30,54,4.72,TRUE
34,36,25,62,4.32,TRUE
30,30,34,17,2.35,TRUE
48,53,34,54,4.1,TRUE
28,38,25,22,2.64,FALSE
50,52,33,89,4.03,TRUE
35,41,2,72,1.6,FALSE
25,39,14,37,2.84,FALSE
58,60,7,3,1.25,TRUE
36,49,48,44,2.52,TRUE
30,46,39,41,4.74,FALSE
59,45,7,28,3.22,FALSE
60,51,22,16,3.22,TRUE
56,51,45,83,1.58,TRUE
51,37,27,93,4.78,TRUE
33,57,43,29,2.14,FALSE
24,46,4,62,3.2,FALSE
47,34,5,6,4.38,FALSE
33,40,44,44,4.99,TRUE
58,38,7,33,4.46,FALSE
57,46,37,39,3.64,TRUE
23,34,17,4,3.55,TRUE
26,42,6,13,2.22,TRUE
51,44,11,78,2.83,FALSE
55,41,32,0,3.66,TRUE
23,36,16,19,3.24,TRUE
32,36,26,84,4.99,FALSE
40,46,37,34,1.31,FALSE
59,39,9,62,4.99,TRUE
34,45,30,79,4.13,FALSE
25,45,36,23,1.24,FALSE
24,56,37,75,1.28,FALSE
31,47,49,86,2.1,FALSE
50,53,43,35,1.99,TRUE
43,49,44,49,2.87,FALSE
32,40,1,87,3.26,TRUE
43,55,19,60,1.22,FALSE
24,59,14,71,4.43,TRUE
33,55,26,21,3.64,FALSE
31,37,34,94,4.09,FALSE
37,58,48,77,3.88,TRUE
24,50,36,69,3.63,FALSE
41,32,10,38,1.39,TRUE
45,54,25,69,3.71,FALSE
42,38,21,37,2.02,TRUE
27,49,38,30,1.46,FALSE
55,46,33,96,2.08,TRUE
38,40,32,84,2.15,TRUE
30,35,10,42,3.97,FALSE
53,51,46,22,1.88,FALSE
48,31,18,86,1.15,TRUE
49,35,49,4,2.04,FALSE
39,40,18,54,4.75,FALSE
28,46,12,18,3.61,TRUE
56,42,48,57,2.96,TRUE
46,56,46,59,4.12,TRUE
44,36,14,65,3.43,TRUE
36,30,22,94,1.37,FALSE
56,40,27,83,3.41,TRUE
58,55,10,77,4.58,TRUE
33,41,19,23,2.81,FALSE
36,59,23,95,3.08,TRUE
51,60,47,99,1.94,TRUE
38,38,13,65,1.4,TRUE
24,36,0,38,4.7,FALSE
23,38,46,97,3.22,FALSE
58,32,7,69,4.04,FALSE
52,44,38,44,1.86,FALSE
37,60,8,62,4.69,FALSE
55,52,15,95,3.66,FALSE
37,59,17,96,3.54,TRUE
38,40,4,85,3.37,TRUE
33,34,49,86,3.28,TRUE
40,43,48,40,3.53,TRUE
38,36,5,24,2.9,FALSE
41,36,19,61,1.38,FALSE
56,60,42,1,2.22,TRUE
31,44,28,5,2.7,TRUE
42,50,32,42,1.23,FALSE
22,52,32,26,3.73,FALSE
57,51,43,49,4.37,FALSE
33,52,20,28,3.94,TRUE
46,57,37,25,3.2,FALSE
38,38,32,60,3.9,FALSE
52,59,24,27,1.93,TRUE
25,31,46,6,4.98,TRUE
48,51,10,16,2.33,FALSE
29,31,5,32,4.09,TRUE
50,45,16,66,4.91,TRUE
26,53,39,51,1.32,FALSE
55,42,9,65,3.43,TRUE
32,57,42,7,4.85,FALSE
47,44,38,25,2.36,TRUE
55,30,32,63,4.32,FALSE
24,53,12,43,3.21,TRUE
60,41,31,15,3.93,TRUE
36,59,2,6,3.65,FALSE
24,46,38,62,2.97,FALSE
46,48,47,64,1.18,TRUE
56,38,23,0,2.14,FALSE
40,33,31,2,3.36,TRUE
55,39,40,72,4.36,FALSE
30,37,29,53,2.56,TRUE
25,57,32,85,2.28,TRUE
52,45,34,44,2.37,TRUE
29,47,6,14,1.75,TRUE
41,44,43,32,3.99,FALSE
52,44,24,63,2.73,FALSE
23,42,39,48,4.88,FALSE
45,54,0,38,3.23,TRUE
56,42,47,8,2.83,FALSE
43,34,24,8,2.7,TRUE
22,47,7,74,3.32,FALSE
30,56,49,2,3.59,FALSE
53,42,29,58,4.26,FALSE
31,44,33,61,4.49,TRUE
54,53,14,40,4.35,FALSE
51,31,48,20,4.49,TRUE
58,53,20,15,2.01,TRUE
34,56,22,87,1.95,FALSE
36,49,48,44,2.52,TRUE
26,49,35,76,2.44,TRUE
52,38,48,81,3.56,FALSE
22,33,36,67,4.27,FALSE
45,30,32,21,2.68,FALSE
53,52,40,35,3.89,TRUE
44,32,22,58,4.46,FALSE
53,39,9,42,4.65,TRUE
45,33,18,17,1.71,FALSE
57,59,7,56,2.36,TRUE
50,55,9,69,4.07,TRUE
41,44,10,72,2.32,FALSE
43,55,18,94,1.3,TRUE
53,50,6,36,1.13,TRUE
34,58,32,47,4.65,TRUE
24,34,46,0,3.82,TRUE
55,37,13,62,4.71,TRUE
58,42,0,16,1.16,TRUE
29,58,6,81,1.31,TRUE
48,38,2,74,2.07,FALSE
45,30,2,40,1.5,TRUE
23,59,43,82,4.06,TRUE
34,54,49,48,3.01,FALSE
32,59,45,15,3.67,TRUE
56,47,20,23,4.97,FALSE
35,56,29,84,3.22,FALSE
57,52,5,89,1.56,TRUE
53,53,20,10,4.72,FALSE
43,45,13,66,1.89,FALSE
39,39,33,89,4.46,TRUE
33,33,36,17,3.7,FALSE
35,43,7,39,2.34,FALSE
57,30,2,87,1.5,TRUE
43,44,21,82,3.57,TRUE
49,58,28,2,3.38,TRUE
58,51,35,43,3.19,TRUE
53,46,28,47,1.82,FALSE
29,45,10,65,2.75,TRUE
59,47,2,29,2,FALSE
54,54,34,75,2.72,TRUE
41,58,2,71,2.27,TRUE
26,44,9,43,4.8,TRUE
39,38,31,72,3.04,TRUE
28,37,35,81,1.32,FALSE
27,48,28,79,4.91,TRUE
56,30,41,18,4.18,FALSE
25,56,21,37,4.8,FALSE
58,34,9,84,4.64,FALSE
32,50,38,16,3.81,TRUE
54,55,5,75,4.48,FALSE
36,40,37,8,1.69,FALSE
27,58,48,82,4.96,FALSE
42,40,26,15,1.76,FALSE
50,44,6,33,2.98,TRUE
41,51,10,54,4.57,TRUE
53,59,18,80,4.04,TRUE
38,55,47,72,4.8,TRUE
38,33,4,48,1.44,TRUE
45,54,23,9,1.6,TRUE
27,31,7,93,1.72,FALSE
60,38,42,97,3.02,FALSE
53,51,8,44,3.19,FALSE
49,36,0,65,4.94,TRUE
36,42,35,75,3.94,TRUE
52,44,41,85,4.41,TRUE
57,30,4,84,2.46,FALSE
46,38,10,73,1.63,TRUE
31,38,14,65,4.06,TRUE
46,59,9,78,3.57,TRUE
22,37,27,28,4.5,TRUE
23,58,21,59,1.98,FALSE
56,59,39,84,4.16,FALSE
39,31,8,90,1.55,FALSE
59,50,33,60,1.48,TRUE
43,38,11,34,3.87,TRUE
51,40,36,79,2.88,TRUE
49,43,16,93,3.97,FALSE
34,56,17,2,2.88,TRUE
45,48,5,95,3.36,FALSE
44,33,1,42,1.81,TRUE
35,54,7,10,2.04,FALSE
48,42,3,91,4.31,FALSE
34,56,19,57,1.65,TRUE
51,51,36,97,4.88,TRUE
57,54,17,51,2.62,FALSE
57,32,27,38,3.06,TRUE
44,59,39,6,2.51,FALSE
50,40,36,71,4.44,FALSE
56,59,24,73,3.67,TRUE
59,32,16,86,3.65,FALSE
29,30,16,88,2.21,FALSE
33,52,20,18,4.77,TRUE
58,35,23,30,4.71,FALSE
46,43,9,37,3.72,FALSE
34,31,13,93,2.38,FALSE
48,52,1,99,2.06,TRUE
50,51,10,69,4.62,FALSE
33,42,36,11,2,TRUE
34,36,21,73,4.42,TRUE
31,35,37,63,3,FALSE
53,53,11,3,4.32,FALSE
24,31,31,10,1.84,FALSE
23,42,13,88,3.91,TRUE
52,44,1,7,2.1,TRUE
25,47,16,44,2.25,FALSE
50,54,0,9,1.5,TRUE
27,48,5,98,2.52,TRUE
32,30,9,93,4.05,TRUE
26,58,5,63,4.09,TRUE
27,35,21,9,2.47,TRUE
31,51,45,44,1,TRUE
51,56,39,39,4.88,FALSE
43,41,42,87,4.51,TRUE
28,41,37,43,1.96,TRUE
26,41,2,68,2.61,FALSE
37,59,4,94,1.72,FALSE
23,50,1,96,3.68,TRUE
30,53,42,33,1.82,TRUE
45,31,0,50,1.59,TRUE
47,44,18,54,2.09,TRUE
27,52,38,57,1.84,FALSE
41,31,26,91,2.59,FALSE
49,56,24,71,1.06,TRUE
30,37,15,66,2.67,FALSE
39,34,11,89,3.11,FALSE
35,44,11,39,1.5,FALSE
22,43,2,31,4,TRUE
52,35,27,82,3.18,TRUE
53,49,10,42,3.59,FALSE
23,43,1,54,3.76,TRUE
42,47,40,61,1.56,TRUE
58,38,25,37,3.37,FALSE
38,44,6,93,1.06,FALSE
58,58,39,38,3.27,FALSE
59,55,13,76,4.61,TRUE
39,55,33,58,2.41,FALSE
27,52,13,70,2.73,FALSE
22,60,45,92,1.38,TRUE
48,42,45,90,1.26,FALSE
43,32,6,46,4.2,TRUE
49,52,30,6,1.8,FALSE
49,30,31,19,4.21,TRUE
38,51,19,27,1.72,FALSE
55,40,18,86,4.84,TRUE
30,47,36,96,3.3,FALSE
58,40,10,92,3.67,FALSE
26,40,23,98,3.04,TRUE
54,42,5,32,3.44,TRUE
38,31,10,96,3.1,TRUE
40,58,6,9,4.88,FALSE
37,55,31,92,3.35,FALSE
41,35,8,39,1.67,FALSE
52,57,47,86,1.27,FALSE
22,37,26,30,2.09,FALSE
59,35,24,18,1.7,FALSE
31,51,2,55,2.99,TRUE
43,56,26,72,4.14,FALSE
55,52,11,52,3.47,FALSE
34,43,20,80,3.39,FALSE
28,44,12,95,3.88,TRUE
36,31,14,98,4.39,TRUE
22,56,41,53,3.67,TRUE
58,30,5,40,3.25,FALSE
26,40,1,41,2.52,FALSE
27,42,17,31,2.65,FALSE
28,40,39,68,1.04,TRUE
34,49,29,84,2.4,TRUE
24,35,11,87,4.67,TRUE
35,34,29,88,2.67,TRUE
42,57,21,35,2.92,TRUE
43,40,29,49,2.62,FALSE
57,56,18,12,1.61,TRUE
27,44,4,37,4.48,TRUE
55,50,47,31,4.73,FALSE
42,51,44,4,3.56,FALSE
55,57,27,63,1.38,FALSE
51,59,21,4,2.51,TRUE
58,60,43,65,2.97,TRUE
32,60,24,58,1.01,FALSE
48,58,24,98,1.96,FALSE
45,32,3,78,2.01,FALSE
57,47,9,47,1.95,TRUE
41,56,25,8,4.38,TRUE
44,35,39,81,1.27,TRUE
32,36,17,41,1.08,FALSE
52,35,27,82,3.18,TRUE
32,34,2,77,3,TRUE
26,43,15,28,1.43,TRUE
60,51,34,22,3.98,FALSE
23,31,25,62,4.25,TRUE
51,47,35,31,4.33,TRUE
39,44,23,8,1.89,FALSE
53,30,44,95,3.52,FALSE
25,50,40,96,1.83,FALSE
36,45,12,95,4.26,TRUE
45,35,6,65,4.63,FALSE
55,36,5,92,1.24,TRUE
25,45,8,64,4.51,TRUE
32,42,8,26,2.18,FALSE
37,59,31,90,2.85,TRUE
50,41,1,83,1.4,TRUE
59,35,47,37,4.05,TRUE
35,51,11,90,1.18,FALSE
26,51,23,2,3.62,TRUE
60,57,32,25,2.6,FALSE
43,47,40,94,3.13,TRUE
57,51,28,51,2.59,FALSE
29,53,27,63,1.41,FALSE
37,34,4,16,1.73,TRUE
41,48,31,33,2.03,FALSE
57,49,3,27,3.48,TRUE
23,54,44,6,1.11,TRUE
24,54,49,28,3.33,TRUE
23,40,43,22,3.89,FALSE
24,54,22,9,2.5,FALSE
38,52,39,87,1.72,TRUE
51,47,22,58,2.57,FALSE
51,32,30,6,2.77,TRUE
29,54,6,17,2.77,FALSE
34,40,10,52,3.86,TRUE
23,48,42,51,4.78,TRUE
42,47,34,87,2.95,TRUE
55,59,0,74,1.42,TRUE
49,30,47,47,2.33,TRUE
55,52,39,76,1.36,FALSE
23,41,27,16,2.41,TRUE
46,53,16,97,2.3,FALSE
35,40,34,21,4.02,TRUE
30,53,48,63,4.81,FALSE
32,38,35,14,4.43,TRUE
58,49,0,29,4.8,TRUE
31,46,37,45,4.48,FALSE
54,44,15,18,4.28,FALSE
35,51,27,29,4.91,FALSE
60,44,32,51,3.84,TRUE
50,44,13,76,4.79,TRUE
51,40,5,99,4.91,FALSE
51,59,21,4,2.51,TRUE
53,34,41,81,3.8,TRUE
57,43,32,93,1.44,TRUE
46,40,0,21,4.82,FALSE
43,54,19,31,4.96,FALSE
30,37,45,96,2.65,FALSE
35,53,47,65,2.27,FALSE
54,42,7,18,4.91,TRUE
49,48,5,97,2.88,TRUE
22,33,25,45,3.47,FALSE
27,34,43,75,1.82,FALSE
50,45,2,87,4.92,TRUE
46,56,49,89,3.19,FALSE
49,35,9,23,3.75,TRUE
44,52,14,94,3.73,FALSE
24,36,34,59,4.99,TRUE
56,53,46,44,1.98,FALSE
23,55,6,35,2.51,TRUE
55,32,22,15,1,TRUE
34,49,22,48,3.85,FALSE
34,52,38,23,3.48,FALSE
35,46,8,11,1.37,FALSE
32,56,7,37,2.87,FALSE
23,48,35,78,1.4,FALSE
30,32,11,48,4.42,FALSE
60,43,25,47,3.81,TRUE
53,45,12,42,4.24,TRUE
27,31,25,23,4.49,TRUE
28,60,45,43,1.07,TRUE
48,60,40,58,2.29,FALSE
50,52,12,35,3.73,FALSE
25,43,13,23,3.39,TRUE
38,55,19,79,2.86,TRUE
38,54,45,13,1.35,TRUE
48,45,33,16,3.93,TRUE
40,53,4,91,1.3,FALSE
56,57,41,7,4.42,TRUE
33,32,10,73,2.89,FALSE
59,30,23,22,3.27,FALSE
57,33,15,36,3.26,TRUE
55,58,25,90,3.47,TRUE
31,33,41,12,4.72,TRUE
23,39,4,20,2,FALSE
48,58,20,86,2.79,FALSE
54,43,39,11,3.72,FALSE
42,47,34,87,2.95,TRUE
28,36,16,32,1.7,TRUE
56,46,45,86,1.02,FALSE
32,30,11,40,4.77,FALSE
58,60,14,58,2.61,FALSE
58,47,37,22,4.23,TRUE
57,31,40,65,4.9,FALSE
30,38,46,36,2.99,TRUE
53,46,26,29,3.92,TRUE
35,34,23,69,4.91,FALSE
26,54,10,2,2.31,FALSE
36,38,41,34,4.31,FALSE
40,45,0,16,2.81,TRUE
57,47,42,19,3.46,FALSE
41,39,36,13,1.92,TRUE
41,37,17,47,1.5,FALSE
51,37,48,37,1.21,FALSE
33,43,39,10,2.03,TRUE
58,53,47,20,1.29,TRUE
50,32,39,84,2.98,TRUE
33,30,24,53,1.47,TRUE
32,39,48,99,4.96,FALSE
46,34,31,70,4.92,FALSE
40,44,17,35,2.55,FALSE
38,37,25,60,3.93,TRUE
54,46,41,85,2.02,FALSE
26,53,45,52,4.64,TRUE
37,40,12,46,3.35,FALSE
23,41,3,62,4.68,TRUE
37,39,12,71,3.79,FALSE
55,47,16,42,1,TRUE
58,38,31,65,2.73,TRUE
35,54,46,62,1.93,FALSE
31,35,47,92,1.7,FALSE
31,42,20,85,2.3,FALSE
53,36,26,95,3.34,FALSE
53,37,44,88,4.86,FALSE
22,58,27,47,2.99,TRUE
56,40,3,67,1.35,TRUE
43,42,1,60,3.58,TRUE
52,39,13,43,2.72,TRUE
29,44,26,38,4.98,TRUE
37,47,2,37,2.64,TRUE
56,51,45,83,1.58,TRUE
52,38,24,28,1.67,TRUE
41,39,17,74,2.48,FALSE
34,38,9,63,1.99,TRUE
55,54,11,83,2.92,FALSE
24,59,38,7,3.34,TRUE
32,54,5,65,3.97,TRUE
58,46,6,44,1.03,FALSE
53,30,36,76,4.49,TRUE
43,34,1,75,3.49,FALSE
47,46,1,75,2.98,TRUE
22,50,28,12,4.57,TRUE
31,45,6,38,4.72,TRUE
22,60,43,73,3.09,FALSE
33,41,9,6,1.8,TRUE
28,58,31,22,4.34,FALSE
48,42,19,11,4.73,FALSE
44,39,48,91,3.71,FALSE
52,57,29,29,4.37,FALSE
27,54,46,32,1.78,TRUE
26,51,23,12,2.13,FALSE
40,48,45,55,1.2,TRUE
38,39,28,33,4.33,FALSE
53,52,46,30,1.25,FALSE
59,44,35,10,3.26,FALSE
22,31,36,31,1.59,FALSE
38,42,16,86,3.81,FALSE
32,54,6,91,3.94,TRUE
22,50,10,60,2.66,FALSE
39,41,14,74,2.54,FALSE
54,39,14,20,2.22,TRUE
35,40,43,84,1.24,FALSE
40,41,37,92,1.09,TRUE
30,53,8,78,2.97,TRUE
51,41,14,1,4.23,TRUE
42,53,6,37,4.07,FALSE
46,53,15,82,3.24,TRUE
28,56,25,48,4.55,FALSE
33,36,34,27,1.87,TRUE
25,56,15,78,4.47,FALSE
43,35,35,83,2.75,FALSE
60,32,12,12,1.53,FALSE
26,42,45,15,3.01,TRUE
53,46,17,27,4.75,FALSE
44,55,45,83,2.41,FALSE
24,51,3,35,4.98,TRUE
34,47,14,12,1.77,TRUE
57,59,29,71,3.08,FALSE
28,48,48,78,4.75,FALSE
46,46,41,73,1.82,TRUE
42,60,36,66,4.49,TRUE
25,58,16,74,4.91,FALSE
33,52,36,48,2.3,FALSE
38,30,30,70,3.88,FALSE
44,49,22,36,4.23,TRUE
23,36,16,19,3.24,TRUE
59,32,49,34,2.9,FALSE
56,59,14,56,2.86,TRUE
27,39,42,53,4.34,TRUE
54,57,18,24,2.72,TRUE
43,47,43,42,2.88,TRUE
44,45,39,39,3.39,FALSE
23,49,16,81,4.23,FALSE
51,47,9,2,4.08,FALSE
41,54,1,70,3.86,FALSE
27,43,39,44,2.46,TRUE
35,52,27,56,2.57,TRUE
23,52,12,67,2.79,FALSE
53,39,44,12,2.43,TRUE
56,41,39,94,4.81,FALSE
35,47,7,88,5,TRUE
58,39,15,42,4.39,TRUE
29,56,25,3,1.33,TRUE
23,58,36,28,1.78,TRUE
59,59,21,34,3.13,TRUE
48,48,33,5,4.71,TRUE
32,47,22,97,1.03,TRUE
58,56,26,54,1.84,TRUE
56,35,21,54,4.01,FALSE
42,50,6,78,4.76,TRUE
43,51,22,33,4.45,FALSE
47,51,34,97,1.95,FALSE
56,57,19,27,3.48,TRUE
33,40,30,50,1.83,FALSE
31,33,41,12,4.72,TRUE
60,53,25,46,1.94,FALSE
51,32,29,73,1.44,FALSE
56,37,36,83,3.02,TRUE
48,59,46,72,4.78,TRUE
26,36,48,29,1.77,FALSE
26,37,12,23,1.52,TRUE
39,36,0,46,1.89,TRUE
52,57,38,47,2.56,TRUE
35,35,33,87,1.91,TRUE
46,59,15,63,1.14,FALSE
30,54,16,8,2.34,FALSE
31,46,18,44,3.71,FALSE
37,54,5,18,2.9,FALSE
57,36,17,85,3.86,TRUE
34,48,46,10,4.52,FALSE
40,31,12,54,2.29,TRUE
54,45,34,95,1.04,TRUE
34,36,45,45,1.54,TRUE
40,47,26,46,3.52,TRUE
52,38,1,89,4.12,FALSE
50,34,12,40,2.5,TRUE
58,33,18,77,3.69,FALSE
60,40,24,82,2.54,FALSE
28,48,17,93,3.35,FALSE
24,53,49,36,2.02,FALSE
34,35,29,53,1.6,TRUE
56,34,39,51,1.47,TRUE
22,33,34,59,1.09,FALSE
23,45,12,96,3.35,TRUE
45,60,43,39,1.74,TRUE
39,36,14,49,4.98,FALSE
59,58,22,93,4.79,FALSE
58,54,5,1,2.88,FALSE
45,46,37,7,4.04,FALSE
24,38,45,84,4.2,TRUE
27,60,46,6,3.53,TRUE
48,41,17,41,2.3,TRUE
52,42,45,84,1.89,FALSE
32,43,49,61,3.16,FALSE
42,49,21,34,4.83,TRUE
50,39,22,56,3.79,TRUE
25,57,20,69,1.75,FALSE
42,51,48,76,3.28,TRUE
28,55,47,20,3.46,TRUE
36,37,18,20,1.96,FALSE
25,59,10,41,3.32,FALSE
46,44,16,33,2.84,TRUE
49,53,10,7,1.33,FALSE
43,36,0,54,1.88,FALSE
58,59,29,23,3.49,FALSE
25,45,4,92,1.1,FALSE
48,37,36,20,4.45,FALSE
58,34,44,0,1.86,TRUE
34,36,21,6,1.65,FALSE
30,40,13,49,1.88,FALSE
38,33,47,25,1.99,FALSE
36,44,49,80,2.77,TRUE
39,53,27,24,1.1,TRUE
25,35,38,30,1.01,TRUE
38,46,36,10,4.97,TRUE
32,36,39,81,4.34,FALSE
41,57,36,92,1.19,FALSE
50,43,35,4,4.82,TRUE
25,57,30,15,1.58,FALSE
48,49,7,23,2.54,FALSE
42,52,47,51,2.37,TRUE
41,58,34,66,3.4,TRUE
24,35,6,24,4.3,FALSE
28,48,2,59,2.5,FALSE
55,44,42,26,3.23,TRUE
52,50,6,33,4.12,TRUE
22,50,49,6,3.09,FALSE
25,30,49,35,3.2,FALSE
29,56,2,98,4.34,TRUE
29,36,20,18,2.83,TRUE
55,35,16,87,2.03,TRUE
37,32,17,1,2.07,TRUE
60,40,14,43,3.56,FALSE
46,48,17,44,1.4,FALSE
48,55,30,20,3.98,TRUE
33,51,18,72,3.93,FALSE
42,37,16,0,2.18,TRUE
58,51,6,76,3.05,TRUE
35,47,0,57,3.86,FALSE
40,57,27,90,2.91,FALSE
40,30,7,70,3.9,FALSE
34,40,5,89,2.83,FALSE
26,56,47,60,2.59,FALSE
58,34,21,7,4.05,FALSE
35,33,30,27,3.39,TRUE
43,45,39,95,1.66,TRUE
37,30,9,6,3.41,FALSE
56,59,22,55,4.88,FALSE
55,49,13,31,4.41,TRUE
59,55,22,28,3.18,FALSE
43,54,31,38,1.57,FALSE
38,35,35,6,3.27,FALSE
52,32,29,9,1.89,TRUE
56,35,13,56,2.76,FALSE
34,49,29,84,2.4,TRUE
51,30,12,85,1.61,TRUE
37,47,38,3,3.75,FALSE
29,34,29,48,4.95,FALSE
53,56,43,99,4.82,FALSE
33,45,37,87,2.92,TRUE
39,50,35,75,1.29,TRUE
51,46,29,43,1.51,TRUE
37,59,9,81,3.07,TRUE
40,31,17,20,3.76,FALSE
43,31,30,34,4.06,FALSE
58,44,8,66,3.9,TRUE
25,32,31,36,4.22,FALSE
47,30,11,42,4.24,FALSE
46,35,42,44,4.01,TRUE
54,31,17,93,4.74,FALSE
47,32,43,73,3.75,TRUE
35,49,42,17,4.14,TRUE
24,38,1,47,1.94,FALSE
49,38,6,9,2.19,FALSE
31,42,21,76,2.87,FALSE
33,55,8,70,1.67,FALSE
32,50,36,49,4.03,TRUE
46,32,15,84,2.66,TRUE
36,50,10,64,3.18,TRUE
55,60,26,58,2.05,FALSE
43,32,15,48,3.16,FALSE
39,41,40,7,2.32,TRUE
42,37,21,7,4.28,TRUE
55,47,37,53,4.79,TRUE
56,60,42,1,2.22,TRUE
60,60,20,37,4.73,TRUE
34,48,14,63,1.29,TRUE
37,38,4,60,3.63,FALSE
43,45,0,48,4.35,FALSE
22,35,17,91,4.31,TRUE
47,34,43,95,3.61,TRUE
48,38,30,79,4.15,FALSE
23,58,11,21,2.8,TRUE
58,35,33,39,1.21,TRUE
53,50,33,93,2.72,TRUE
36,35,20,94,1.4,TRUE
40,52,31,85,2.79,TRUE
35,53,10,50,4.98,FALSE
38,45,5,82,4.06,TRUE
36,33,20,7,2.93,TRUE
43,30,29,35,1.23,TRUE
25,32,12,54,4.89,TRUE
24,46,30,57,1.77,TRUE
52,30,15,78,2.37,TRUE
56,49,8,66,4.76,FALSE
46,36,6,38,4.5,FALSE
38,41,8,40,1.01,FALSE
55,40,2,82,4.38,FALSE
26,36,35,16,1.74,TRUE
47,42,3,2,3.22,TRUE
51,35,2,8,3.69,FALSE
56,39,23,39,2.91,FALSE
45,58,24,43,1.85,FALSE
24,49,27,3,1.7,TRUE
32,58,2,70,2.29,FALSE
46,39,38,35,1.81,FALSE
36,57,7,91,2.62,TRUE
39,40,19,22,2.12,FALSE
52,35,16,96,4.44,TRUE
51,49,27,14,3.05,TRUE
59,33,39,87,3.3,TRUE
30,39,35,65,4.59,TRUE
38,39,7,96,4.83,FALSE
40,44,11,11,1.76,FALSE
44,59,36,97,1.57,TRUE
58,54,44,27,3.7,FALSE
59,41,11,23,3.88,FALSE
34,43,43,14,4.09,FALSE
49,49,3,89,4.82,FALSE
60,59,30,66,4.52,FALSE
43,50,6,33,2.12,TRUE
54,55,37,13,4.77,FALSE
37,31,4,60,2.14,TRUE
28,35,47,6,4.15,TRUE
38,36,40,13,3.34,FALSE
46,42,0,81,4.44,TRUE
49,50,31,38,3.06,TRUE
54,46,33,12,1.84,FALSE
34,59,7,67,3.08,TRUE
57,53,41,12,4,FALSE
25,39,46,24,3.33,FALSE
50,50,15,17,2.48,TRUE
51,30,27,8,3.1,TRUE
40,60,38,55,4.59,TRUE
24,53,39,49,2.67,FALSE
58,55,28,10,3.44,TRUE
37,45,49,1,3.97,TRUE
48,47,42,36,2.31,TRUE
55,55,2,8,2.25,FALSE
28,35,20,47,4.99,TRUE
38,52,33,61,2.19,TRUE
57,35,4,24,1.13,TRUE
46,31,12,34,4.17,TRUE
42,55,27,20,4.58,TRUE
27,35,2,96,2.46,TRUE
46,32,38,36,4.61,TRUE
54,41,23,84,2.42,TRUE
53,47,15,91,4.89,TRUE
26,34,37,18,3.88,FALSE
48,49,25,75,3.31,TRUE
53,49,42,4,4.95,FALSE
60,54,21,12,1.62,FALSE
22,48,49,99,3.66,FALSE
27,58,30,0,1.51,TRUE
28,34,38,8,4.4,TRUE
35,48,32,97,4.66,FALSE
38,45,33,34,2.72,FALSE
41,60,46,62,1.31,FALSE
59,33,7,65,4.75,TRUE
55,44,7,93,3.76,TRUE
33,54,48,70,1.5,FALSE
38,34,0,59,3.67,FALSE
26,48,43,71,2.37,TRUE
41,47,11,66,2.93,FALSE
25,47,0,16,4.01,TRUE
57,40,16,91,3.19,FALSE
36,40,0,8,4.34,FALSE
