Years_At_Company,Performance_Score,Monthly_Salary,Remote_Work_Frequency,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
9,5,8250,0,23,0,4.13,TRUE
1,5,6000,100,72,2,2.22,TRUE
5,1,6600,100,64,1,2.03,TRUE
6,3,4550,0,52,1,2.86,TRUE
1,2,6600,25,23,0,4.62,TRUE
7,3,4550,100,75,1,2.32,TRUE
1,4,8400,100,31,0,2.81,TRUE
6,2,7200,25,24,2,4.35,TRUE
7,1,6050,0,40,2,1.15,TRUE
5,4,4900,50,32,1,1.17,TRUE
6,5,7500,50,31,2,1.66,TRUE
9,5,6000,75,60,0,4.89,TRUE
5,5,6000,50,70,1,3.22,TRUE
1,4,6300,25,45,2,2.13,TRUE
2,2,5400,50,63,0,4.45,TRUE
8,3,6500,75,37,0,3.99,TRUE
3,2,7200,50,77,2,4.53,TRUE
3,3,6500,25,77,0,3.64,TRUE
0,1,6050,75,28,2,2.51,TRUE
5,1,4400,25,24,1,1.93,TRUE
0,4,8400,50,45,0,2.4,TRUE
5,5,9000,0,19,0,3.94,TRUE
7,1,3850,75,34,0,1.67,TRUE
6,4,5600,100,14,2,1.04,TRUE
1,3,5850,25,77,1,3.54,TRUE
2,2,4800,100,32,1,3.74,TRUE
2,1,6600,50,6,2,2.19,TRUE
2,1,6050,100,2,2,3.75,TRUE
6,3,5200,25,5,0,3.11,TRUE
5,3,6500,0,5,0,3.47,TRUE
1,3,6500,100,53,0,2.11,TRUE
6,3,6500,50,30,2,1.75,TRUE
4,3,7800,75,93,0,1.55,TRUE
4,5,5250,100,25,1,1.92,TRUE
4,1,6600,75,38,2,3.64,TRUE
0,4,5600,50,94,2,1.13,TRUE
1,3,7800,0,60,0,1.1,TRUE
6,4,8400,25,92,0,1.31,TRUE
8,4,7700,75,70,1,3.57,TRUE
5,3,7800,0,53,1,3.36,TRUE
7,2,4800,0,4,0,3.13,TRUE
7,3,6500,0,85,0,3.27,TRUE
7,5,9000,25,36,0,4,TRUE
7,4,8400,0,97,0,4.28,TRUE
3,3,5850,25,62,0,4.99,TRUE
9,1,4400,0,32,2,4.13,TRUE
5,3,7150,100,56,2,1.47,TRUE
3,5,9000,25,64,1,3.08,TRUE
5,3,6500,75,0,1,4.59,TRUE
2,3,5200,50,50,1,2.7,TRUE
2,2,7200,25,19,1,4.39,TRUE
3,4,7000,100,36,2,2.92,TRUE
3,5,7500,100,90,2,4.66,TRUE
6,2,4800,50,79,1,4.03,TRUE
6,5,8250,75,98,0,3.77,TRUE
1,1,6600,100,69,0,3.66,TRUE
2,2,7200,0,22,0,2.29,TRUE
7,5,9000,75,17,1,4.44,TRUE
1,4,7700,100,30,0,1.43,TRUE
0,2,5400,0,90,0,4.55,TRUE
9,4,7000,50,90,0,2.88,TRUE
9,5,9000,25,53,1,3.55,TRUE
3,2,6000,75,6,2,3.79,TRUE
6,3,7800,0,7,1,1.47,TRUE
2,2,7200,75,94,0,3.32,TRUE
3,4,7000,100,26,1,3.96,TRUE
8,5,5250,0,10,1,2.73,TRUE
3,4,8400,75,38,2,1.9,TRUE
1,1,3850,50,11,1,1.34,TRUE
0,3,7150,25,78,0,3.02,TRUE
8,5,9000,75,21,0,3.97,TRUE
3,5,6750,25,35,0,1.23,TRUE
6,3,4550,100,84,1,3.72,TRUE
0,4,8400,50,63,2,1.5,TRUE
4,2,7200,0,5,2,4.71,TRUE
0,4,6300,50,95,1,4.19,TRUE
4,4,6300,0,37,2,1.77,TRUE
0,3,5850,100,45,0,3.76,TRUE
2,3,4550,100,10,2,2.22,TRUE
5,4,6300,100,67,1,3.38,TRUE
2,4,7000,50,70,1,3.01,TRUE
3,5,7500,25,86,0,3.34,TRUE
7,4,8400,50,54,2,3.9,TRUE
2,4,4900,75,88,2,4.13,TRUE
4,5,7500,0,55,1,4.08,TRUE
6,4,7000,0,31,0,4.33,TRUE
8,4,7000,25,65,2,3.55,TRUE
4,1,5500,25,54,0,3.07,TRUE
2,2,6000,100,22,1,2.8,TRUE
7,1,3850,50,47,2,1.38,TRUE
2,2,7200,100,92,2,1.33,TRUE
8,5,6750,100,54,0,1.67,TRUE
1,1,4400,50,86,1,2.62,TRUE
7,5,6000,25,43,2,2.8,TRUE
9,4,8400,75,96,0,1.62,TRUE
6,2,6000,75,69,0,3.72,TRUE
3,4,7700,0,43,1,3.17,TRUE
2,5,6750,75,15,2,1.27,TRUE
1,1,4400,50,8,1,2.22,TRUE
9,5,8250,100,4,1,1.67,TRUE
0,4,7000,0,4,2,2.9,TRUE
5,1,5500,25,80,0,1.22,TRUE
8,1,4400,50,46,2,2.9,TRUE
5,2,4200,75,88,0,1.17,TRUE
2,5,5250,75,83,1,2.24,TRUE
2,1,4950,100,33,1,4.64,TRUE
0,2,4200,100,13,0,1.92,TRUE
4,1,6600,0,26,2,3.18,TRUE
0,3,7800,75,8,2,1.19,TRUE
1,2,4800,25,30,1,3.6,TRUE
2,4,8400,0,28,2,4.65,TRUE
3,5,9000,50,22,2,2.5,TRUE
2,1,6600,100,41,2,2.18,TRUE
7,1,4950,75,15,2,4.91,TRUE
8,4,6300,75,3,1,3.63,TRUE
7,2,7200,50,71,1,2.22,TRUE
5,1,5500,100,28,1,2.39,TRUE
6,1,4950,25,60,1,3.49,TRUE
1,5,8250,0,18,1,2.38,TRUE
8,5,9000,25,0,2,2.84,TRUE
8,3,7800,0,81,0,1.61,TRUE
0,4,7000,25,99,1,1.21,TRUE
3,2,4200,25,13,0,1.27,TRUE
4,2,7200,0,35,0,4.64,TRUE
2,4,7700,75,56,2,1.63,TRUE
9,3,7800,75,10,1,3,TRUE
9,4,8400,25,88,0,1.41,TRUE
4,4,4900,25,98,1,3.05,TRUE
8,1,6050,50,22,0,1.01,TRUE
5,5,8250,25,73,1,2.08,TRUE
0,3,7800,0,6,1,4.63,TRUE
3,3,7150,75,7,0,3.59,TRUE
7,1,6600,100,36,0,4.98,TRUE
6,5,6750,100,78,0,2.14,TRUE
0,1,3850,0,75,1,3.48,TRUE
3,3,5200,100,72,0,3.04,TRUE
0,1,6050,25,78,0,2.15,TRUE
5,4,5600,75,41,2,2.12,TRUE
6,2,4800,50,8,1,4.67,TRUE
5,5,6750,25,23,0,3.48,TRUE
2,1,4950,50,33,2,2.17,TRUE
8,2,7200,50,32,1,2.81,TRUE
5,2,5400,0,6,0,3.98,TRUE
0,5,8250,25,16,0,2.74,TRUE
6,5,9000,0,57,2,4.79,TRUE
9,4,4900,100,61,1,3.17,TRUE
2,3,7800,100,86,0,3.28,TRUE
4,4,5600,75,84,0,4.05,TRUE
1,5,6000,50,59,1,2.44,TRUE
1,4,6300,75,41,1,4.98,TRUE
0,5,6000,75,49,0,2.69,TRUE
9,3,7150,100,22,2,1.36,TRUE
1,3,6500,75,60,2,3.65,TRUE
5,3,7800,25,96,2,2.32,TRUE
0,5,8250,25,89,1,4.32,TRUE
8,2,6600,100,89,0,3.69,TRUE
3,4,7700,75,82,1,3.54,TRUE
1,4,6300,0,0,0,1.55,TRUE
9,5,6750,0,67,0,4.4,TRUE
6,2,7200,25,2,2,1.2,TRUE
3,2,4200,100,80,2,1.36,TRUE
9,2,4200,25,54,0,1.03,TRUE
7,4,7700,100,72,1,1.11,TRUE
3,2,6600,50,42,0,2.25,TRUE
8,3,4550,25,67,0,1.34,TRUE
8,2,6600,25,24,1,3.11,TRUE
3,4,5600,25,33,1,1.23,TRUE
7,3,5850,0,82,2,3.73,TRUE
6,1,4400,75,75,1,4.96,TRUE
7,3,7150,75,96,0,3.2,TRUE
8,2,5400,25,11,2,3.67,TRUE
8,2,7200,25,77,2,3.57,TRUE
1,1,5500,75,14,1,4.47,TRUE
7,2,4800,50,84,0,4.02,TRUE
5,4,5600,75,18,2,4.78,TRUE
9,3,7150,50,98,2,1.02,TRUE
2,5,9000,0,15,2,2.47,TRUE
1,3,5850,0,67,0,4.04,TRUE
9,5,6750,25,33,0,3.8,TRUE
4,1,6050,0,17,2,3.74,TRUE
8,2,4800,75,96,2,4,TRUE
5,2,7200,50,16,1,3.76,TRUE
3,3,7800,50,22,1,1.26,TRUE
5,3,7800,50,93,0,1.66,TRUE
4,3,7150,100,49,2,1.03,TRUE
8,2,6000,75,36,1,1.56,TRUE
1,2,6600,100,22,2,1.21,TRUE
8,1,6050,50,55,2,4.11,TRUE
8,4,8400,0,47,0,1.11,TRUE
6,3,7150,0,14,0,3.3,TRUE
1,5,6000,25,14,2,2.15,TRUE
4,5,6000,75,19,2,3.38,TRUE
3,5,6750,50,30,1,4.8,TRUE
7,1,6600,50,88,2,2.86,TRUE
8,4,6300,0,94,1,4.6,TRUE
1,1,6600,100,91,0,4.47,TRUE
0,5,5250,75,24,2,1.22,TRUE
2,4,8400,0,57,1,2.98,TRUE
7,5,5250,25,38,1,4.44,TRUE
9,5,7500,100,60,2,3.07,TRUE
4,1,6050,75,87,1,2.95,TRUE
5,3,4550,100,71,2,4.72,TRUE
6,4,7700,50,19,0,4.44,TRUE
9,1,6600,0,16,2,2.41,TRUE
8,3,4550,75,24,2,1.38,TRUE
4,4,6300,100,53,0,3.67,TRUE
4,2,7200,25,27,2,3.56,TRUE
7,5,7500,0,7,1,2.32,TRUE
6,3,4550,75,49,2,4.69,TRUE
8,4,5600,0,47,1,2.82,TRUE
1,2,4200,75,61,1,1.45,TRUE
8,4,8400,0,58,1,1.95,TRUE
8,2,4800,75,31,0,3.39,TRUE
0,1,6050,75,20,2,3.65,TRUE
2,1,6600,25,29,0,1.4,TRUE
6,3,5200,0,29,2,4.1,TRUE
2,4,5600,100,85,0,4.04,TRUE
8,1,6600,75,81,0,4.84,TRUE
1,3,5200,100,11,0,2.92,TRUE
1,5,8250,25,80,2,4.1,TRUE
0,1,3850,75,16,1,2.36,TRUE
8,4,5600,25,85,2,2,TRUE
1,4,7000,100,55,0,3.26,TRUE
6,3,7800,50,75,1,4.17,TRUE
8,4,5600,0,87,1,1.96,TRUE
8,3,5200,25,48,1,3.77,TRUE
1,3,5850,50,4,2,1.64,TRUE
1,1,3850,100,94,2,2.63,TRUE
5,1,6600,25,34,2,4.83,TRUE
7,5,6000,100,1,1,1.48,TRUE
0,4,4900,75,16,0,1.96,TRUE
6,2,5400,75,98,0,3.15,TRUE
5,3,5200,50,31,2,4.44,TRUE
8,3,7800,100,44,0,3.94,TRUE
5,5,8250,75,57,2,3.01,TRUE
3,3,6500,0,63,0,2.58,TRUE
5,4,4900,25,0,0,3.22,TRUE
6,1,6600,100,69,0,2.44,TRUE
7,4,8400,100,9,2,3.13,TRUE
6,3,4550,0,88,2,1.32,TRUE
7,4,7000,50,95,2,1.98,TRUE
5,1,5500,0,53,1,3.84,TRUE
3,2,5400,100,49,2,2.62,TRUE
6,1,6600,100,22,0,2.25,TRUE
5,1,6600,0,52,2,3.27,TRUE
7,3,7800,0,72,2,3.11,TRUE
0,2,5400,25,74,0,4.14,TRUE
7,1,6600,25,29,1,3.22,TRUE
0,3,7150,25,59,0,3.38,TRUE
0,3,7800,75,61,0,2.47,TRUE
8,5,9000,25,71,0,4.21,TRUE
8,4,6300,100,98,0,4.39,TRUE
9,5,5250,50,23,0,1.52,TRUE
6,2,6000,25,97,0,1.1,TRUE
8,3,6500,100,24,1,3.57,TRUE
1,2,5400,25,68,0,2.53,TRUE
3,5,5250,25,66,1,3.08,TRUE
1,2,4200,100,17,1,4.51,TRUE
1,4,5600,75,53,2,2.58,TRUE
5,1,3850,25,64,0,1.23,TRUE
4,1,6600,0,87,2,2.11,TRUE
8,1,5500,25,71,2,2.15,TRUE
1,1,6600,50,15,2,2.07,TRUE
1,4,8400,50,35,0,3,TRUE
6,2,4200,100,70,1,4.67,TRUE
3,5,7500,75,70,0,1.26,TRUE
7,1,4400,0,9,2,4.23,TRUE
0,4,7700,50,39,1,3.76,TRUE
0,1,6600,50,74,2,2.07,TRUE
9,5,5250,100,15,1,4.43,TRUE
4,2,4800,75,90,2,4,TRUE
3,1,6050,25,29,2,3.4,TRUE
5,3,7800,25,8,2,2.48,TRUE
3,4,7000,0,30,2,4.97,TRUE
0,3,5200,75,58,1,3.68,TRUE
7,4,8400,0,34,1,1.8,TRUE
2,3,5200,0,46,2,2.02,TRUE
8,5,9000,25,57,0,2.14,TRUE
8,3,4550,75,94,2,3.67,TRUE
0,4,8400,100,93,2,3.24,TRUE
8,5,6000,75,80,0,2.6,TRUE
2,1,3850,100,69,1,1.18,TRUE
4,2,4800,100,62,1,2.83,TRUE
1,3,5850,25,36,0,2.99,TRUE
0,1,6050,0,30,1,4.21,TRUE
6,1,6600,100,45,1,4.41,TRUE
0,5,9000,75,63,1,1.92,TRUE
7,1,6050,75,45,1,1.13,TRUE
8,1,6600,75,77,0,1.24,TRUE
9,5,8250,0,96,0,1.38,TRUE
6,5,9000,25,11,1,4.79,TRUE
9,3,5200,75,8,0,3.18,TRUE
3,2,4200,75,18,0,4.94,TRUE
7,4,4900,50,73,2,1.58,TRUE
2,2,5400,100,13,0,3.82,TRUE
9,2,7200,25,54,2,2.61,TRUE
6,2,7200,25,48,2,1.43,TRUE
2,3,5850,100,66,1,4.36,TRUE
7,2,7200,0,48,0,3.41,TRUE
7,5,9000,50,83,1,1.74,TRUE
0,4,6300,75,71,1,2.67,TRUE
1,1,4400,50,39,0,3.64,TRUE
3,5,6750,50,43,1,2.65,TRUE
5,4,8400,0,54,0,3.88,TRUE
0,3,7800,100,64,0,4.9,TRUE
8,1,3850,100,29,0,2.59,TRUE
4,1,4400,75,5,1,2.73,TRUE
7,4,4900,100,40,0,4.66,TRUE
2,2,4800,75,32,0,2.95,TRUE
7,2,4800,25,4,1,1.47,TRUE
1,3,7800,0,52,0,4.51,TRUE
3,3,7800,0,97,1,3.56,TRUE
1,4,6300,25,83,2,4.13,TRUE
1,4,7000,0,81,0,3.84,TRUE
0,5,7500,50,1,0,2.98,TRUE
5,1,6050,50,73,0,3.42,TRUE
2,1,6050,100,4,2,2.44,TRUE
9,5,5250,75,20,0,1.39,TRUE
2,2,7200,100,71,1,4.08,TRUE
6,5,7500,25,10,1,4.64,TRUE
2,3,7800,75,43,2,3.12,TRUE
5,1,4400,75,7,2,1.34,TRUE
2,1,6600,0,4,0,4.82,TRUE
6,3,6500,25,91,0,1.46,TRUE
5,5,7500,0,13,2,1.73,TRUE
9,3,4550,50,6,2,1.14,TRUE
1,1,6600,100,73,0,3.67,TRUE
0,3,5850,50,70,0,1.93,TRUE
3,3,6500,100,79,0,2.41,TRUE
5,3,4550,0,25,0,2.71,TRUE
1,1,4950,50,8,0,1.95,TRUE
4,5,6000,25,71,2,4.83,TRUE
7,4,8400,25,53,0,1.27,TRUE
1,1,5500,25,81,2,1.6,TRUE
7,1,5500,100,18,1,1.85,TRUE
3,5,6750,0,79,0,2.29,TRUE
6,2,7200,25,97,1,1.26,TRUE
9,1,3850,75,17,1,1.19,TRUE
3,2,7200,50,39,0,3.12,TRUE
0,1,6050,50,49,2,3.89,TRUE
2,4,8400,25,76,1,3.29,TRUE
0,4,7700,100,5,0,3.05,TRUE
2,3,4550,25,40,0,1.95,TRUE
9,3,6500,0,66,2,2.36,TRUE
1,3,7800,50,56,2,3.33,TRUE
0,2,6000,25,82,0,4.49,TRUE
2,4,6300,0,39,0,3.78,TRUE
3,1,4950,50,56,1,1.28,TRUE
5,2,4800,100,62,0,2.82,TRUE
3,5,9000,25,90,0,2.88,TRUE
4,5,9000,25,48,2,1.5,TRUE
7,3,6500,0,22,0,3.11,TRUE
4,3,5200,25,55,1,3.32,TRUE
6,4,7700,25,74,2,1.8,TRUE
0,2,4800,50,0,0,2.58,TRUE
7,2,6000,25,60,0,4.22,TRUE
6,2,6600,50,82,0,2.05,TRUE
7,1,3850,75,40,0,1.61,TRUE
3,1,6600,0,62,2,1.38,TRUE
1,2,5400,25,20,0,3.96,TRUE
2,2,4800,50,18,2,4.04,TRUE
7,1,6600,75,82,1,2.06,TRUE
6,2,7200,50,92,1,2.77,TRUE
8,4,5600,25,35,0,2.92,TRUE
1,1,4400,50,89,1,3.94,TRUE
8,3,5850,25,22,1,4.86,TRUE
3,5,7500,100,73,2,2.87,TRUE
7,5,6000,0,23,2,3.05,TRUE
3,4,5600,100,64,2,4.11,TRUE
1,1,6050,25,86,0,4.51,TRUE
8,5,9000,100,65,0,3.55,TRUE
7,2,4800,100,74,0,3.57,TRUE
9,5,9000,75,72,0,3.25,TRUE
5,4,7700,25,9,1,4.17,TRUE
5,5,7500,50,19,1,3.98,TRUE
2,4,5600,50,34,0,2.46,TRUE
2,2,7200,25,67,1,4.97,TRUE
4,3,4550,100,46,2,4.45,TRUE
0,3,6500,75,49,2,3.7,TRUE
2,3,5200,75,3,2,2.52,TRUE
8,2,7200,100,82,0,2.37,TRUE
0,5,9000,75,49,0,2.54,TRUE
5,4,7700,75,8,2,4.23,TRUE
3,2,6000,100,50,2,2.57,TRUE
7,1,6600,100,49,2,3.04,TRUE
8,4,7000,25,78,2,2.41,TRUE
2,5,7500,100,54,1,4.57,TRUE
4,4,7700,50,21,1,4.92,TRUE
3,5,6000,0,88,1,3.16,TRUE
7,4,4900,0,22,2,4.32,TRUE
0,2,4800,25,77,0,2.03,TRUE
1,3,5850,25,9,1,1.78,TRUE
6,2,5400,100,38,1,3.06,TRUE
5,3,5850,100,31,1,1.29,TRUE
0,2,6000,0,75,0,2.55,TRUE
0,2,6000,0,39,0,3.56,TRUE
1,5,6000,100,53,1,2.56,TRUE
6,5,6750,0,79,0,4.73,TRUE
6,3,6500,75,53,0,1.88,TRUE
7,1,6600,50,98,1,2.57,TRUE
5,2,7200,100,92,1,1.08,TRUE
1,5,9000,25,52,0,2.19,TRUE
5,1,5500,50,85,2,1.02,TRUE
3,1,3850,25,22,2,3.05,TRUE
6,5,9000,75,32,1,1.63,TRUE
8,4,7000,75,59,1,2.54,TRUE
4,1,4950,75,41,0,1.9,TRUE
7,1,6050,0,97,0,1.75,TRUE
2,5,9000,0,97,2,2.44,TRUE
5,2,5400,50,57,1,4.88,TRUE
5,5,5250,50,8,0,2.99,TRUE
9,3,7150,0,40,2,3.82,TRUE
1,2,6600,100,56,2,3.05,TRUE
1,5,5250,50,94,2,2.17,TRUE
3,3,4550,50,84,0,4.63,TRUE
1,1,4400,100,93,2,4.53,TRUE
4,5,9000,100,14,1,4.16,TRUE
3,3,7150,100,73,0,4.24,TRUE
6,4,7700,0,23,2,2.46,TRUE
1,5,8250,25,68,2,2.54,TRUE
5,3,7150,50,64,1,1.01,TRUE
3,5,7500,100,43,2,3.68,TRUE
9,3,7800,50,74,1,3.72,TRUE
7,3,4550,0,84,1,3.07,TRUE
1,2,7200,75,18,0,3.97,TRUE
2,5,6750,25,64,2,4.09,TRUE
8,2,4200,50,56,0,4.78,TRUE
6,2,6000,0,4,1,4.03,TRUE
6,3,6500,25,8,2,2.78,TRUE
2,5,8250,100,16,0,3.22,TRUE
0,5,7500,75,79,2,1.17,TRUE
6,2,7200,50,32,0,2.37,TRUE
1,1,4950,75,58,0,3.56,TRUE
0,5,6750,50,86,2,4.7,TRUE
1,1,4950,75,27,1,2.06,TRUE
9,5,6000,75,48,2,4.73,TRUE
9,4,7700,100,43,2,3.06,TRUE
0,1,4400,75,67,2,2.04,TRUE
7,1,4400,50,6,1,2.05,TRUE
9,4,8400,50,66,2,4.41,TRUE
3,3,6500,50,65,0,3.43,TRUE
3,4,8400,50,27,1,1.24,TRUE
5,1,3850,25,5,2,1.3,TRUE
7,2,7200,50,97,2,3.45,TRUE
6,4,8400,50,84,1,3.81,TRUE
2,3,7800,50,3,0,1,TRUE
0,4,8400,75,86,1,3.71,TRUE
3,4,7000,25,72,0,3.33,TRUE
4,4,7700,50,48,1,1.69,TRUE
5,1,5500,75,56,2,1.18,TRUE
4,1,5500,75,35,2,3.62,TRUE
2,1,6050,0,41,2,4.6,TRUE
5,5,6750,0,67,1,4.19,TRUE
6,4,7000,0,21,2,1.03,TRUE
9,3,4550,75,97,0,1.53,TRUE
2,4,8400,75,98,1,2.12,TRUE
5,2,4800,50,10,2,3.94,TRUE
6,3,5850,100,22,0,3.68,TRUE
3,2,4200,75,95,2,3.17,TRUE
9,4,8400,0,28,1,2.69,TRUE
1,3,7150,50,95,0,1.64,TRUE
4,4,4900,50,90,1,3.12,TRUE
4,4,7000,0,48,0,3.1,TRUE
5,1,6600,0,48,2,1.67,TRUE
1,2,7200,0,99,2,1.01,TRUE
8,2,5400,50,21,2,4.85,TRUE
9,5,5250,0,87,0,3.26,TRUE
2,4,6300,25,37,0,3.15,TRUE
1,4,4900,75,47,1,2.47,TRUE
2,1,6050,100,57,2,4.28,TRUE
9,3,6500,100,47,1,4.46,TRUE
0,2,7200,75,30,0,1.44,TRUE
5,2,5400,75,34,1,4.62,TRUE
5,1,6600,50,40,0,2.6,TRUE
2,2,6600,100,2,0,1.98,TRUE
0,1,3850,75,86,1,1.15,TRUE
7,2,7200,0,25,0,3.8,TRUE
0,4,7000,25,41,0,4.41,TRUE
0,1,4950,50,75,1,1.11,TRUE
0,2,6600,100,16,1,1.26,TRUE
0,3,7150,0,96,2,2.46,TRUE
7,2,4200,50,90,1,4.85,TRUE
5,4,4900,25,6,2,3.44,TRUE
5,3,6500,25,90,2,4.94,TRUE
9,3,4550,100,65,2,1.4,TRUE
8,5,5250,50,74,1,4.54,TRUE
9,2,6600,0,36,0,2.88,TRUE
7,5,9000,25,63,0,2.55,TRUE
2,3,6500,100,52,1,4.13,TRUE
6,5,9000,75,93,2,4.7,TRUE
5,1,4950,25,43,1,2.84,TRUE
7,4,7000,100,75,0,1.06,TRUE
1,5,6000,75,97,2,4.3,TRUE
4,4,4900,50,75,1,2.18,TRUE
8,4,5600,0,87,2,4.23,TRUE
3,1,6050,25,16,2,2.97,TRUE
8,2,4200,75,23,1,1.82,TRUE
9,1,6600,50,7,1,3.44,TRUE
5,1,5500,100,40,0,4.58,TRUE
2,1,4400,50,61,1,3.56,TRUE
4,1,3850,0,93,2,1.7,TRUE
9,4,7000,50,93,1,3.48,TRUE
2,5,7500,0,30,2,2.16,TRUE
0,3,7800,50,93,0,2.06,TRUE
3,4,8400,0,30,1,4.4,TRUE
9,1,6050,25,5,1,4.11,TRUE
0,3,7150,100,66,2,1.44,TRUE
0,4,8400,0,63,1,4.37,TRUE
5,5,9000,0,79,2,3.8,TRUE
0,2,7200,25,11,1,1.17,TRUE
3,2,6000,75,25,2,4.78,TRUE
5,5,6750,0,45,1,2.86,TRUE
5,1,6600,50,47,0,3.38,TRUE
6,3,5850,0,39,1,1.99,TRUE
6,1,4950,100,85,1,2.47,TRUE
5,4,5600,50,86,2,4.17,TRUE
9,1,3850,100,12,0,3.59,TRUE
4,5,8250,25,94,0,4.54,TRUE
8,2,5400,75,26,2,2.61,TRUE
7,4,4900,75,24,1,4.34,TRUE
8,3,7800,75,48,2,3.45,TRUE
5,1,4950,75,23,0,2.47,TRUE
5,4,5600,50,72,1,1.33,TRUE
0,4,8400,50,97,0,1.3,TRUE
5,3,4550,75,8,0,4.98,TRUE
9,3,7800,75,71,2,3.38,TRUE
6,5,6750,75,97,0,1.4,TRUE
7,5,9000,100,61,1,3.04,TRUE
4,1,6050,100,71,2,2.48,TRUE
5,1,6600,100,37,1,3.47,TRUE
7,3,5200,75,98,1,1.7,TRUE
6,2,6000,25,2,1,3.22,TRUE
3,1,4950,25,72,2,4.24,TRUE
8,2,4200,50,39,1,2.88,TRUE
0,1,6050,50,33,0,2.96,TRUE
5,3,4550,50,53,2,1.68,TRUE
9,5,8250,0,60,2,1.97,TRUE
3,3,7800,50,71,2,2.48,TRUE
0,5,9000,50,13,2,2.97,TRUE
3,5,9000,50,20,0,3.14,TRUE
0,4,5600,25,52,2,4.79,TRUE
3,5,5250,100,91,2,2.05,TRUE
4,5,9000,25,90,1,4.02,TRUE
4,4,7700,75,6,1,3.91,TRUE
9,4,7700,0,17,0,3.33,TRUE
3,3,5200,0,39,2,3.71,TRUE
3,5,8250,25,46,1,3.43,TRUE
2,3,7800,50,98,1,3.79,TRUE
0,1,4950,100,62,1,4.2,TRUE
7,4,6300,100,4,1,3.54,TRUE
1,5,6750,100,17,0,3.14,TRUE
0,4,4900,100,81,1,4.17,TRUE
9,2,4200,50,31,0,2.31,TRUE
3,5,7500,50,30,2,1.84,TRUE
8,1,3850,100,68,2,2.56,TRUE
9,3,5200,75,40,2,4.06,TRUE
8,2,6000,100,79,2,4.39,TRUE
5,2,5400,75,54,0,1.15,TRUE
8,4,8400,0,51,2,1.34,TRUE
5,4,7000,100,34,2,4.68,TRUE
5,3,7150,0,94,1,4.09,TRUE
3,1,3850,100,67,2,1.68,TRUE
4,3,7800,25,88,0,4.49,TRUE
5,1,5500,100,75,2,1.51,TRUE
2,4,4900,100,59,2,3.95,TRUE
7,3,4550,25,76,2,2.57,TRUE
4,2,4800,50,91,1,4.18,TRUE
9,1,4950,0,64,1,1.47,TRUE
8,3,7800,25,15,1,2,TRUE
5,2,6000,50,24,0,3.57,TRUE
1,3,7800,50,42,2,4.39,TRUE
9,2,4200,0,70,2,1.51,TRUE
3,4,8400,50,65,1,1.69,TRUE
7,5,9000,75,23,0,4.69,TRUE
1,3,5850,0,74,2,3.68,TRUE
1,2,5400,75,30,0,4.65,TRUE
2,5,9000,50,57,1,4.24,TRUE
6,1,6050,50,90,0,4.7,TRUE
8,5,6000,50,8,2,3.48,TRUE
7,1,6600,75,96,2,3.35,TRUE
6,2,6600,75,68,0,4.37,TRUE
4,5,9000,75,74,2,4.07,TRUE
8,3,7800,0,46,2,2.33,TRUE
1,3,4550,0,12,2,4.02,TRUE
8,5,8250,25,74,0,4.56,TRUE
4,3,7150,50,24,2,3.95,TRUE
8,2,6600,0,92,0,3.8,TRUE
5,4,4900,25,91,0,3.08,TRUE
1,3,7800,50,2,0,2.26,TRUE
2,5,7500,100,56,2,1.69,TRUE
6,3,7800,75,16,1,2.57,TRUE
3,3,7800,75,53,1,3.92,TRUE
3,2,4200,100,85,2,4.54,TRUE
5,3,7800,75,22,0,1.78,TRUE
4,1,6600,75,39,1,3.97,TRUE
6,2,5400,50,84,2,2.23,TRUE
1,5,9000,75,60,2,2.12,TRUE
5,2,4800,75,82,0,1.36,TRUE
8,2,7200,25,17,0,3.43,TRUE
9,2,4800,50,96,1,1.97,TRUE
8,4,6300,75,30,1,4.12,TRUE
7,1,6050,50,99,0,2.11,TRUE
0,4,4900,25,36,1,1.41,TRUE
3,1,6050,100,10,2,4.19,TRUE
4,1,5500,100,9,1,2.38,TRUE
2,5,7500,75,69,0,2.89,TRUE
6,3,6500,100,30,0,4.69,TRUE
1,1,5500,75,77,0,4.14,TRUE
3,2,7200,25,8,2,4.02,TRUE
3,5,6000,25,55,2,3.48,TRUE
4,3,7800,0,72,2,3.87,TRUE
3,4,5600,25,7,1,3.24,TRUE
6,3,4550,100,88,1,3.3,TRUE
0,2,7200,50,42,1,2.29,TRUE
9,5,8250,75,22,2,4.75,TRUE
8,5,5250,100,83,2,4.06,TRUE
7,4,4900,0,20,2,3.68,TRUE
0,1,6600,50,55,1,2.78,TRUE
0,1,4950,100,72,2,2.18,TRUE
5,4,8400,50,27,2,1.72,TRUE
4,5,8250,50,18,1,3.77,TRUE
6,4,4900,0,62,2,2.79,TRUE
2,4,6300,75,31,1,1.23,TRUE
9,2,4800,100,64,2,2.41,TRUE
4,1,4400,75,52,1,1.9,TRUE
1,2,6600,50,26,1,1.35,TRUE
8,1,4400,25,67,2,3.64,TRUE
7,1,6600,100,77,2,2.32,TRUE
3,1,4400,25,70,1,2.99,TRUE
5,4,7700,100,85,2,3.99,TRUE
2,2,7200,50,84,0,1.54,TRUE
3,2,6000,0,26,1,4.83,TRUE
9,4,5600,0,43,1,4.52,TRUE
8,1,3850,50,76,1,4.26,TRUE
